model,param,window,lag,PACF
HPIN,mu,60,5,-0.013193027286609791
PIN,pin,90,1,0.965094587215922
PIN,pin,90,2,0.15673151930457763
PIN,pin,90,3,0.05158361952036327
PIN,pin,90,4,0.03370649069227398
PIN,pin,90,5,0.05808159052102706
HPIN,pin,90,1,0.9510528614408036
HPIN,pin,90,2,0.17830767036495498
HPIN,pin,90,3,0.07586636938368609
HPIN,pin,90,4,0.07854265307829104
HPIN,pin,90,5,0.0790751325302093
PIN,alpha,90,1,0.9641848205699107
PIN,alpha,90,2,0.1262229154099653
PIN,alpha,90,3,0.061402274769491
PIN,alpha,90,4,0.025229758797476902
PIN,alpha,90,5,0.05306585358398283
HPIN,alpha,90,1,0.9550419082084841
HPIN,alpha,90,2,0.1274554340780902
HPIN,alpha,90,3,0.06659486952057472
HPIN,alpha,90,4,0.08371680121981531
HPIN,alpha,90,5,0.06500262145985394
PIN,delta,90,1,0.9303879884220729
PIN,delta,90,2,0.24729695829568055
PIN,delta,90,3,0.10785405439965387
PIN,delta,90,4,0.0744352241789796
PIN,delta,90,5,0.06498533578256353
HPIN,delta,90,1,0.8862436060617924
HPIN,delta,90,2,0.17656039140745616
HPIN,delta,90,3,0.07699271665032591
HPIN,delta,90,4,0.05539244665275154
HPIN,delta,90,5,0.03697671526878532
PIN,epsilon_b,90,1,0.9331217318932669
PIN,epsilon_b,90,2,0.2633627843456526
PIN,epsilon_b,90,3,0.0989968121004202
PIN,epsilon_b,90,4,0.09582705179843684
PIN,epsilon_b,90,5,0.08719953758263187
HPIN,epsilon_b,90,1,0.9357558597601713
HPIN,epsilon_b,90,2,0.15137275421542074
HPIN,epsilon_b,90,3,0.08077960197073648
HPIN,epsilon_b,90,4,0.053634466372271525
HPIN,epsilon_b,90,5,0.050012218448412527
PIN,epsilon_s,90,1,0.9464676925545665
PIN,epsilon_s,90,2,0.2302431666475932
PIN,epsilon_s,90,3,0.08571687380430633
PIN,epsilon_s,90,4,0.05156956014172983
PIN,epsilon_s,90,5,0.047218326452740635
HPIN,epsilon_s,90,1,0.9505898697708011
HPIN,epsilon_s,90,2,0.15667702480776402
HPIN,epsilon_s,90,3,0.05621051181756359
HPIN,epsilon_s,90,4,0.06716273239308611
HPIN,epsilon_s,90,5,0.048459230734127896
PIN,mu,90,1,0.9778679062765646
PIN,mu,90,2,0.09361753612795559
PIN,mu,90,3,0.05490307250031568
PIN,mu,90,4,-0.011300259057634791
PIN,mu,90,5,0.019611969517407988
HPIN,mu,90,1,0.9773469618972879
HPIN,mu,90,2,0.07810351927630535
HPIN,mu,90,3,0.050094602619388195
HPIN,mu,90,4,0.051060136896820305
HPIN,mu,90,5,0.05089746831782073
PIN,pin,120,1,0.9715130467042035
