run,eps_b,eps_s,mu,alpha,delta,pin,spectral_diag,loglik,n_iter,at_best,degenerate,case
30,11288.5224,11314.3362,0.0,2.4004750488381398e-06,0.5,0.0,0.5555552888354655,-2064525.524543407,3,False,True,clean_full_series
31,10000.734084877367,10000.55200729782,5001.105268450056,0.5203043243170795,0.5048058328200705,0.1151197907741286,0.4967857633995636,-65609.08751770781,9,True,False,clean_full_series
32,10000.727601374903,10000.545380387093,5001.11182437358,0.5203043243170795,0.5048058328200705,0.11511999108321887,0.4967857633995636,-65609.08752551358,9,True,False,clean_full_series
33,10000.72711887065,10000.544887210348,5001.112312267434,0.5203043243170797,0.5048058328200706,0.11512000599029017,0.4967857633995636,-65609.08752739447,9,True,False,clean_full_series
34,11288.5224,11314.3362,0.0,2.4004750488381355e-06,0.5,0.0,0.5555552888354655,-2064525.524543407,3,False,True,clean_full_series
35,10000.736182894678,10000.554151721053,5001.10314699779,0.5203043243170797,0.5048058328200704,0.11511972595550612,0.4967857633995636,-65609.0875218935,9,True,False,clean_full_series
36,11288.5224,11314.3362,0.0,2.4004750488381398e-06,0.5,0.0,0.5555552888354655,-2064525.524543407,3,False,True,clean_full_series
37,10000.737781298816,10000.555785480192,5001.101530739406,0.5203043243170794,0.5048058328200704,0.11511967657253469,0.49678576339956376,-65609.08752746526,9,True,False,clean_full_series
38,10000.738612054176,10000.556634610974,5001.100690704472,0.5203043243170798,0.5048058328200705,0.1151196509062089,0.4967857633995636,-65609.08753106963,10,True,False,clean_full_series
39,10000.738458773307,10000.556477939695,5001.100845697495,0.5203043243170794,0.5048058328200703,0.11511965564184672,0.49678576339956376,-65609.08753032962,10,True,False,clean_full_series
40,10000.730113145399,10000.547947715322,5001.109284546474,0.5203043243170796,0.5048058328200705,0.11511991348155239,0.4967857633995636,-65609.08751877591,9,True,False,clean_full_series
41,11288.5224,11314.3362,0.0,2.4004750488381394e-06,0.5,0.0,0.5555552888354655,-2064525.524543407,3,False,True,clean_full_series
42,10000.725856755345,10000.543597178366,5001.113588480641,0.5203043243170795,0.5048058328200705,0.11512004498361468,0.4967857633995636,-65609.08753312222,8,True,False,clean_full_series
43,10000.727341568503,10000.545114834045,5001.112087082033,0.5203043243170796,0.5048058328200707,0.11511999910999261,0.4967857633995636,-65609.08752653253,7,True,False,clean_full_series
44,11288.5224,11314.3362,0.0,2.400475048838139e-06,0.5,0.0,0.5555552888354655,-2064525.524543407,3,False,True,clean_full_series
45,10000.734011670984,10000.55193247219,5001.1053424741585,0.5203043243170797,0.5048058328200704,0.11511979303585336,0.4967857633995636,-65609.08751763395,9,True,False,clean_full_series
46,10000.734064088278,10000.5519860489,5001.105289471359,0.5203043243170797,0.5048058328200706,0.11511979141641134,0.4967857633995636,-65609.08751764636,9,True,False,clean_full_series
47,10000.73864742059,10000.556670759657,5001.100654943011,0.5203043243170797,0.5048058328200704,0.11511964981355759,0.4967857633995636,-65609.08753119242,9,True,False,clean_full_series
48,10000.728552082259,10000.546352123103,5001.110863046772,0.5203043243170796,0.5048058328200706,0.11511996171091639,0.4967857633995636,-65609.08752236952,9,True,False,clean_full_series
49,10000.736354031018,10000.554326642748,5001.102973949849,0.5203043243170795,0.5048058328200705,0.11511972066821884,0.4967857633995636,-65609.08752247687,11,True,False,clean_full_series
